Composition,Structure,Str1,elem,USFE,SurfEne,ISIS,Number,EleNeg_Miedema,EleDensity_Miedema,V0_Miedema,Period,Group,M_Num2,Mass,Radius_Coval,VaporHeat,Ion_Pot_1,Ion_Pot_2,Ion_Pot_3,Radius_vDW,EleNeg_Pauling,No_Spectral_lines,MaxR_Ele_in_Solid,Heat_Capacity,BoilingT,MeltingT,Heat_Fusion,Heat_Sublimation,CohEnergy,DebyeT,Therm_Conduc,Ele_Conduc,S298,Electron_Affinity,Y_wiki,B_wiki,G_wiki,WorkFunc,Possion_exp,NsVal,NpVal,NdVal,Nval,NsUnfill,NpUnfill,NdUnfill,NUnfill,Va_Activa,DFTBh,DFTGh,DFTYoung,DFTv0,NDFTC11,NDFTC12,NDFTC44,DFTBhvGh,DFTGvb,DFTGV,DFTpoisson,ratio_bh,Gb2pih,BGsq,GGB32,PackingEff,SpaceGroup,NfVal,NfUnfill,Va_Form,DFTC11,DFTC12,DFTC44,DFTC13,DFTC33,NDFTCxx,FT_Thomson_exp,FT_Thomson_dft,FT_Rice_92_exp,FT_Rice_92_dft,FT_Niu_exp,FT_Niu_dft,FT_Mazhnik_exp,FT_Mazhnik_dft,FT_Rice_68_exp,FT_Rice_68_dft,Fracture_toughness
Ti40 Nb1 Al5 Si15,unknown_structure,0,0,0.16386703,1.725409836,3.467127475,19.60655738,4.058196721,3.426393443,10.04918033,3.68852459,7.213114754,57.44262295,42.03213115,144.8196721,402.295082,5.118278689,14.68688525,29.47213115,192.7377049,1.635245902,427.9508197,1.427868852,23693.16656,3266.393443,1812.459016,12615.30934,455365.9508,4.720819672,388.7704918,0.711311475,2.920327869,27.68393443,0.442163934,95.08196721,105.7377049,42.40163934,4.453278689,0.322905641,1.983606557,0.573770492,1.37704918,3.93442623,0.016393443,1.393442623,5.344262295,6.754098361,2.780655738,101.713882,32.90272328,89.02340679,16.57359313,130.7295889,87.20489836,45.97105236,3.111355967,0.65938924,549.7558152,0.353303399,0.827726832,4.214383032,1.760086186,3.522493229,0.739491881,205.2295082,0,0,1.493278689,130.0625346,90.04959098,47.17949652,85.78255205,132.0636975,35.7049333,20.78944314,18.73879947,4.530305768,4.083442292,106.9159196,92.37238341,8.847549633,8.95492855,10.30291335,10.08565782,16.4
Ni1 Al1,unknown_structure,0,0,0.21874551,1.42,4.0262355,20.5,4.7,4.03,8.3,3.5,11.5,70,42.835,122.5,335.5,6.805,18.485,32.3,173.5,1.76,310.5,1.235,25225.47,2865.5,1330.5,14151.385,369066.5,3.915,439,1.64,2.54,29.05,0.795,135,128,51,4.715,0.330695879,2,0.5,4,6.5,0,2.5,1,3.5,2.14,136.436665,57.656753,151.1697739,13.74925,188.2397,110.53455,75.8549375,2.687856398,1.639811341,694.8624288,0.329128964,0.707106781,6.488664544,1.631223075,11.06891856,0.7404805,225,0,0,1.195,188.2397,110.53455,75.8549375,110.53455,188.2397,63.52081667,20.80403168,22.09427409,5.773749127,6.13183049,125.0556279,137.2789049,10.34175973,10.91763828,12.31163492,13.0205521,6.5
V1,unknown_structure,0,0,0.607591997,2.47,5.156981,23,4.25,4.41,8.36,4,5,50,50.94,153,453,6.74,14.2,29.7,179,1.63,497,0.84,24743.99,3665,2202,17584.56,514558,5.31,380,0.31,0.5,30.89,0.528,128,160,47,4.3,0.366223909,2,0,3,5,0,0,7,7,3.3,187.19,30.416027,86.55978775,13.453199,272.033,144.76925,17.63185,6.154321207,0.753625637,409.192864,0.422930545,1.224744871,5.928819841,2.48079044,0.803049224,0.68017476,229,0,0,2.63,272.033,144.76925,17.63185,144.76925,272.033,32.96519167,27.06820615,22.82000163,9.492968143,8.003099552,133.7354412,116.367086,10.55883312,9.331043451,12.15839136,10.26720413,3.64
Be22.5 Zr41.2 Ti13.8 Ni10 Cu12.5,unknown_structure,0,0,0.131541505,1.4901,4.790125962,26.841,4.1583,3.61998,9.88054,3.962,5.025,43.138,60.0287,144.68,439.735,7.17212,15.6442,56.93692,170.663,1.54223,241.942,1.2409,23194.28482,3691.522,1839.284,17612.01786,474619.568,4.87155,589.727,1.16737,1.70162,29.64277,0.346584,144.849,120.4708,62.968,4.46539,0.290426029,1.875,0,3.15,5.025,0.125,0,4.6,4.725,2.18596,118.740428,55.53161041,141.468718,16.31181288,152.5865682,101.8187523,96.17095983,2.500825678,1.683587518,734.1240356,0.306380657,0.823575351,8.081744858,1.561118135,19.12090263,0.726911708,200.975,0,0,1.73221,152.5865682,101.8187523,96.17095983,101.8187523,152.5865682,72.57527586,22.99846309,21.84475807,4.83178401,4.58940027,138.702584,129.3162625,10.32902251,10.48442424,12.57744293,12.49495627,55
Ti27 Nb41 Cr8 Al9 Si15,unknown_structure,0,0,0.463280858,1.9577,5.85246715,27.94,4.1415,3.9202,10.053,4.17,6.88,55.77,61.8197,149.1,504.99,6.15625,14.8269,29.1774,198.54,1.6345,462.49,1.1016,23999.1738,3923.08,2160.58,17932.0647,549513.28,5.7408,360.07,0.7913,2.2359,30.4168,0.69804,110.04,134.04,45.585,4.4048,0.343972769,1.51,0.39,2.58,4.48,0.49,1.05,5.02,6.56,3.2026,131.3893673,31.13463742,85.31630479,16.7908374,184.6600373,104.750591,31.33519144,4.615293372,0.651772341,508.604844,0.380901592,1.029151295,5.043739009,2.096657133,2.986096624,0.710930687,218.89,0,0,2.0826,184.2531341,106.4858535,32.07234238,103.8829598,185.4738435,32.86847315,23.32668969,19.84472699,8.023931672,6.826203611,125.0854845,102.3483258,9.845007422,9.122232526,11.17169634,9.989754367,19.6
Ti8 Nb8 Al1 Si3,unknown_structure,0,0,0.333002793,1.891,4.39843715,27.95,4.055,3.81,10.342,4.2,6.35,54.15,61.8745,152.3,514.5,5.80535,14.38,28.937,198.3,1.6215,436.55,1.105,24168.301,3987.35,2178.1,18145.5915,559440.2,5.832,344.4,0.6445,2.0505,31.0325,0.62735,98.95,130.8,40.685,4.3935,0.351406748,1.6,0.35,2.4,4.35,0.4,0.85,5.6,6.85,3.108,130.580168,29.82327225,82.23714554,17.2631864,176.1629163,107.785355,33.56663344,4.638581193,0.579465969,514.2313033,0.384022853,0.982563867,4.471793592,2.107507051,2.34620931,0.716358204,214.5,0,0,2.0575,175.7560131,109.5206175,34.30378438,106.9177238,176.9767225,32.43412031,21.78244907,19.13687881,6.4635317,5.678508531,117.2756527,100.3235946,9.479813082,9.034401251,10.62499281,9.821551158,16
Mo1 Si1,unknown_structure,0,0,0.868976982,2.145,11.7543015,28,4.675,4.465,9,4,10,66,62.015,132.5,479.5,7.64,16.03,31.53,209.5,2.03,224.5,1.35,21792.29,3995,2291,16140.115,551192,5.725,375,1.43,5.945,23.685,1.0685,188,165,81.95,4.725,0.293148848,1.5,1,2.5,5,0.5,2,2.5,5,4.225,173.19,72.1319375,189.7482344,15.278774,290.9059375,114.3279167,64.20724896,2.641368244,1.532839024,1132.801112,0.329055657,1.193931993,13.92898091,1.620947223,12.9743919,0.71032763,228,0,0,1.53,289.5495938,120.112125,66.66441875,111.4358125,293.618625,67.76818438,31.53945162,30.37135688,14.19481145,13.66909259,183.1742979,176.0651048,11.69421584,12.44719912,14.34137134,14.58727061,11.5
Mo1 Fe1 Co1 Ni1,unknown_structure,0,0,0.670951592,2.4075,8.333361,30.75,4.97,5.455,7.4475,4.25,8.25,59.5,67.3525,134,425,7.63025,16.775,32.4725,189.5,1.945,1190.5,0.5775,24900.99,3630,2051,18966.205,482528.75,4.9825,453.75,1.0225,1.515,28.92,0.67975,237.25,190,88.25,4.8125,0.300503936,1.75,0,6.5,8.25,0.25,0,3.5,3.75,3.485,217.426665,98.330477,256.2731217,12.2836455,329.3006975,161.485965,115.7221775,2.217286813,2.696202244,1230.02673,0.303563543,0.965925826,15.14723658,1.488544624,20.2643878,0.71032763,219.25,0,0,2.265,329.3006975,161.485965,115.7221775,161.485965,329.3006975,105.1172404,34.85602537,36.87367875,13.01143844,13.76461016,196.6929089,222.1033049,12.82574906,13.39771952,16.14933477,16.8013693,30
Nb5 Si3,unknown_structure,0,0,0.51218664,1.86125,6.686780875,30.875,4.29375,4.02375,9.975,4.25,8.375,60.625,68.6025,144.125,565.875,7.355875,14.815,30.11,208.125,1.7125,340.125,1.2,22995.9975,4280.625,2351.375,18489.95625,616244.625,6.4675,284.375,0.8925,4.18125,29.7225,1.094375,83.25,143.75,40.2125,4.50625,0.363185845,1.375,0.75,2.5,4.625,0.625,1.5,3.75,5.875,3.7625,140.18375,25.66785,71.88974366,16.93925063,197.9617469,111.2895562,19.68154922,5.52590851,0.513202705,433.2486609,0.401659977,1.201635212,4.904825545,2.308882499,1.414580651,0.702789413,228.25,0,0,1.87875,196.9444891,115.6277125,21.52442656,109.1204781,199.9962625,24.21665911,21.68235916,17.87117347,8.042726567,6.629027803,121.8428819,96.13007519,8.811955132,8.611492863,9.7928304,9.258446136,21
Hf4 Ti26 Nb51 Cr2 Al2 Si15,unknown_structure,0,0,0.419163444,1.9577,5.18988463,32.35,4.0795,3.9483,10.4314,4.42,6.23,53.57,72.763,154.09,554.09,6.20175,14.3704,28.6952,201.63,1.6188,431.75,0.99,24159.4092,4185.21,2322.99,19751.2293,595551.35,6.2236,325.69,0.63,2.0135,32.0856,0.72523,100.86,139.42,41.425,4.3779,0.358479004,1.47,0.32,2.74,5.09,0.53,0.7,5.56,6.79,3.3254,138.9215008,29.81252042,82.35107645,17.49307033,191.7707397,112.49268,30.03978843,5.024083268,0.579130371,519.8940617,0.38985124,1.049856819,4.798142904,2.191022127,2.399321309,0.708518458,218.12,0.56,0,2.2193,191.3638366,114.2279425,30.77693936,111.6250487,192.584546,31.89964006,22.48686369,19.56070694,7.357538087,6.400120902,122.4441775,103.6879816,9.688034674,9.12911001,10.75790189,9.854455082,13.5
W1 Si2,unknown_structure,0,0,0.78967489,2.033333333,11.04009233,34,4.733333333,4.23,8.916666667,4,11.33333333,70.33333333,80.01,128,506,8.092666667,16.79333333,30.30666667,210,2.053333333,272,1.556666667,21464.32667,3808.333333,2356.333333,14849.18667,574847.6667,6.053333333,333.3333333,1.566666667,7.296666667,23.41253333,1.198666667,168.3333333,170,82.93333333,4.75,0.298561095,2,1.333333333,1.333333333,9.333333333,0,2.666666667,2,4.666666667,4.513333333,156.32,66.71301333,174.6965917,15.14420433,249.8242133,109.5663272,65.73329861,2.713935042,1.411080855,1053.654265,0.332006668,1.183661033,12.82894157,1.641660061,13.08928904,0.720378587,227.6666667,4.666666667,0,1.203333333,248.015755,117.278605,69.009525,105.7101883,253.44113,61.24342222,31.01015387,28.50056705,13.66497362,12.55909591,186.7655473,160.6276462,11.15088693,11.97907716,13.59436552,14.01209112,3.4
Nb83.5 Si16.5,unknown_structure,0,0,0.559989267,2.02295,6.221040145,36.545,4.15725,4.24005,10.437,4.67,6.485,54.115,82.2147,155.255,635.385,7.089385,14.3026,28.9844,207.495,1.6495,401.655,0.864,24068.6565,4747.875,2574.605,23141.07195,675592.515,7.0849,279.125,0.6951,2.22615,33.3891,0.995045,95.43,158.45,38.9735,4.39075,0.381553597,1.165,0.33,3.34,4.835,0.835,0.66,5.01,6.505,3.6827,160.08965,25.2976032,71.74021988,17.72466764,225.5493366,127.3535727,16.59219766,6.366697871,0.480305545,447.4831118,0.418690278,1.214576621,4.887792901,2.500417293,0.905988632,0.690125207,228.67,0,0,2.47305,225.1017432,129.2623615,17.40306369,126.3991784,226.4445235,25.95354068,22.58167957,18.76542761,8.401145766,6.981371435,126.8899354,102.7584786,9.743535861,8.849610173,10.56835903,9.326823588,13
Nb9 Si1,unknown_structure,0,0,0.574785318,2.073,6.0768823,38.3,4.115,4.307,10.58,4.8,5.9,52.1,86.428,158.7,656.9,7.0069,14.144,28.636,207.3,1.63,420.7,0.76,24400.67,4892.5,2643.7,24580.703,693962.1,7.276,277.5,0.634,1.621,34.524,0.9643,99.2,163,38.59,4.355,0.387238853,1.1,0.2,3.6,4.9,0.9,0.4,5.4,6.7,3.658,166.251,25.183003,71.69393871,17.9677729,234.0883525,132.3257683,15.63596979,6.626942198,0.47012309,451.8890133,0.423961562,1.218582296,4.882520892,2.559701872,0.748567293,0.686205334,228.8,0,0,2.657,233.8170838,133.48261,16.12740375,131.7473475,234.63089,26.49114687,22.85185322,19.03959357,8.508629444,7.08917762,128.3552292,104.7172592,10.03061759,8.92250576,10.80275692,9.34902573,21
Mo1,unknown_structure,0,0,1.368037047,2.91,15.435689,42,4.65,5.55,9.4,5,6,52,95.94,154,600,7.131,15.72,29.6,209,2.16,292,0.5,23781.02,5100,2895,27632.88,662770,6.82,450,1.38,1.89,28.56,0.747,329,230,120,4.6,0.277777778,1,0,5,6,1,0,5,6,4.45,265.44,117.4941,307.1617139,15.955848,465.95605,165.17585,99.53845,2.259177269,2.454567128,1874.718,0.307136758,1.224744871,22.90244387,1.503055977,23.02053643,0.68017476,229,0,0,2.95,465.95605,165.17585,99.53845,165.17585,465.95605,116.489,43.97761668,44.42840875,21.32156734,21.54012383,263.5974408,280.2062785,15.16817557,15.4111869,18.881429,18.41616793,13.4
W90 Fe2.95 Ni6.78,unknown_structure,0,0,1.513095973,3.227661687,15.90830097,69.45292289,4.831038805,5.880009024,9.276682042,5.804873158,6.331093954,52.1884087,171.5549554,158.5292289,757.9112604,7.953839366,17.6856312,25.02309034,206.331495,2.313730071,577.425549,0.301931214,24882.76483,5399.15572,3505.547879,33466.28895,804036.3059,8.460134363,405.4697684,1.655768575,1.832993081,32.26816404,0.819570942,390.7394966,297.0209566,152.8845884,4.58931114,0.28151256,2,0,4.331093954,18.96520606,0,0,5.668906046,5.668906046,5.295624185,296.3053254,140.9544471,364.9743268,15.72420036,494.2330073,197.3407619,137.1837917,2.107142414,2.978718711,2242.660782,0.295042474,1.189553994,26.9587285,1.451501739,31.92565841,0.684274559,228.7280658,12.6341121,0,3.242720345,494.2330073,197.3407619,137.1837917,197.3407619,494.2330073,140.937902,52.41387433,50.80797833,25.37584422,24.59835987,337.2900232,323.4723878,16.60047975,16.4248542,20.60025672,19.99436777,100
W92.5 Fe2.19 Ni5.33,unknown_structure,0,0,1.539250709,3.252988402,16.15089957,70.49770046,4.824162168,5.891304739,9.338933213,5.849630074,6.25694861,51.92121576,174.3776665,159.3181364,767.5931814,7.959597081,17.69069886,24.79338532,207.145071,2.324415117,557.8404319,0.294526095,24861.44119,5455.5009,3548.928514,33878.11436,813510.1906,8.561171766,404.1971606,1.675187962,1.846437712,32.35058188,0.819654869,395.3768246,300.0069986,154.7406519,4.580878824,0.280874883,2,0,4.25694861,19.20435913,0,0,5.74305139,5.74305139,5.351335733,298.7823889,142.2597011,368.3124488,15.8396436,499.6263987,198.359714,137.7330684,2.104076997,2.986531577,2274.06015,0.294804188,1.197160278,27.32483656,1.450469501,32.27159091,0.683388413,228.7868426,12.94741052,0,3.275818836,499.6263987,198.359714,137.7330684,198.359714,499.6263987,142.0331597,52.91407826,51.23389064,25.73769566,24.92044326,341.4487064,326.7202188,16.70012125,16.51325135,20.71810458,20.08404978,95.915
W95 Fe1.49 Ni3.48,unknown_structure,0,0,1.569944134,3.282673802,16.43081255,71.68330499,4.815861759,5.904494348,9.410644193,5.900570171,6.169050715,51.60658197,177.5853526,160.230069,778.5582675,7.966623987,17.6930099,24.52226068,208.1254376,2.336435931,540.006502,0.286255877,24835.40853,5519.717915,3598.447834,34342.86647,824281.8757,8.675886766,402.7838352,1.697097129,1.861020306,32.43996399,0.817988697,400.6741022,303.3880164,156.8636591,4.570141042,0.28010927,2,0,4.169050715,19.47304191,0,0,5.830949285,5.830949285,5.415410623,301.5906577,143.7249261,372.0637264,15.97180256,505.7713327,199.4997116,138.2997523,2.100994672,2.994636319,2309.636997,0.294563087,1.20672566,27.75089213,1.449429693,32.65526846,0.68227403,228.8607582,13.3039912,0,3.314823447,505.7713327,199.4997116,138.2997523,199.4997116,505.7713327,143.2451051,53.48989439,51.72265582,26.15682202,25.29263365,346.1938677,330.3953893,16.81196069,16.61333473,20.85157307,20.18449859,110.043
W97.13 Fe0.86 Ni2.01,unknown_structure,0,0,1.594985987,3.306904,16.66060312,72.6626,4.809158,5.915275,9.469549,5.9426,6.0976,51.3502,180.233484,160.9782,787.622,7.972277,17.695973,24.30152,208.9177,2.346397,523.9301,0.279384,24814.46819,5572.6755,3639.2609,34727.53798,833172.7816,8.770622,401.607,1.715233,1.873272,32.51506288,0.8171523,405.0389,306.183,158.6121,4.56163,0.27948975,2,0,4.0976,19.6958,0,0,5.9024,5.9024,5.468074,303.9110756,144.9400776,375.1735131,16.08061028,510.8394467,200.4463315,138.7851826,2.098327254,3.001564041,2339.039864,0.294354959,1.214340346,28.09956038,1.448530501,32.97490416,0.681386905,228.9196,13.5982,0,3.346598,510.8394467,200.4463315,138.7851826,200.4463315,510.8394467,144.2556409,53.96210283,52.1244982,26.4997337,25.59732199,350.1137085,333.4401784,16.90369824,16.69560589,20.96089779,20.26731615,72.511
W1,unknown_structure,0,0,1.629190835,3.34,16.974449,74,4.8,5.93,9.55,6,6,51,183.85,162,800,7.98,17.7,24,210,2.36,502,0.27,24785.86,5645,3695,35252.86,845315,8.9,400,1.74,1.89,32.6176,0.816,411,310,161,4.55,0.278643446,2,0,4,20,0,0,6,6,5.54,307.08,146.59949,379.4202652,16.229213,517.76099,201.739015,139.4478,2.094686687,3.011020723,2379.194349,0.294070891,1.224744871,28.57578884,1.447303246,33.41137236,0.68017476,229,14,0,3.39,517.76099,201.739015,139.4478,201.739015,517.76099,145.6355292,54.60610203,52.6731042,26.96739051,26.01277362,355.4757902,337.6045095,17.02791881,16.80747692,21.10917166,20.37983588,13.3